domain_code,domain,area_code,area,element_code,element,item_code,item,year_code,year,unit,value,flag,flag_description,Category
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,177.91,Fc,Calculated data,Grains
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2018,2018,kg,7.46,Fc,Calculated data,Vegetables
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2908,Sugar Crops,2018,2018,kg,0,Fc,Calculated data,Vegetables
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2911,Pulses,2018,2018,kg,2.25,Fc,Calculated data,Vegetables
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2018,2018,kg,1.18,Fc,Calculated data,Grains
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2018,2018,kg,2.09,Fc,Calculated data,Grains
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2018,2018,kg,3.55,Fc,Calculated data,Vegetables
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2018,2018,kg,36.92,Fc,Calculated data,Vegetables
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2919,Fruits - Excluding Wine,2018,2018,kg,30.41,Fc,Calculated data,Fruits
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2922,Stimulants,2018,2018,kg,2.18,Fc,Calculated data,Grains
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2923,Spices,2018,2018,kg,0.27,Fc,Calculated data,Vegetables
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2943,Meat,2018,2018,kg,9.7,Fc,Calculated data,Meats
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2945,Offals,2018,2018,kg,1.56,Fc,Calculated data,Meats
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2946,Animal fats,2018,2018,kg,1.34,Fc,Calculated data,Meats
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2949,Eggs,2018,2018,kg,1.54,Fc,Calculated data,Meats
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2948,Milk - Excluding Butter,2018,2018,kg,37,Fc,Calculated data,Milk
FBS,New Food Balances,2,Afghanistan,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",2018,2018,kg,0.24,Fc,Calculated data,Meats
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,150.43,Fc,Calculated data,Grains
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2018,2018,kg,47.75,Fc,Calculated data,Vegetables
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2911,Pulses,2018,2018,kg,6.04,Fc,Calculated data,Vegetables
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2018,2018,kg,4.38,Fc,Calculated data,Grains
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2018,2018,kg,12.88,Fc,Calculated data,Grains
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2018,2018,kg,11.61,Fc,Calculated data,Vegetables
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2018,2018,kg,297.63,Fc,Calculated data,Vegetables
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2919,Fruits - Excluding Wine,2018,2018,kg,174.93,Fc,Calculated data,Fruits
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2922,Stimulants,2018,2018,kg,2.68,Fc,Calculated data,Grains
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2923,Spices,2018,2018,kg,0.16,Fc,Calculated data,Vegetables
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2943,Meat,2018,2018,kg,39.12,Fc,Calculated data,Meats
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2945,Offals,2018,2018,kg,4.99,Fc,Calculated data,Meats
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2946,Animal fats,2018,2018,kg,3.05,Fc,Calculated data,Meats
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2949,Eggs,2018,2018,kg,15.24,Fc,Calculated data,Meats
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2948,Milk - Excluding Butter,2018,2018,kg,316.78,Fc,Calculated data,Milk
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",2018,2018,kg,8.64,Fc,Calculated data,Meats
FBS,New Food Balances,3,Albania,645,Food supply quantity (kg/capita/yr),2961,"Aquatic Products, Other",2018,2018,kg,0,Fc,Calculated data,Meats
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,218.31,Fc,Calculated data,Grains
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2018,2018,kg,67.1,Fc,Calculated data,Vegetables
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2911,Pulses,2018,2018,kg,7.65,Fc,Calculated data,Vegetables
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2018,2018,kg,1.54,Fc,Calculated data,Grains
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2018,2018,kg,4.31,Fc,Calculated data,Grains
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2018,2018,kg,15.87,Fc,Calculated data,Vegetables
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2018,2018,kg,192.82,Fc,Calculated data,Vegetables
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2919,Fruits - Excluding Wine,2018,2018,kg,100.78,Fc,Calculated data,Fruits
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2922,Stimulants,2018,2018,kg,3.11,Fc,Calculated data,Grains
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2923,Spices,2018,2018,kg,0.73,Fc,Calculated data,Vegetables
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2943,Meat,2018,2018,kg,19.83,Fc,Calculated data,Meats
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2945,Offals,2018,2018,kg,1.57,Fc,Calculated data,Meats
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2946,Animal fats,2018,2018,kg,0.71,Fc,Calculated data,Meats
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2949,Eggs,2018,2018,kg,6.71,Fc,Calculated data,Meats
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2948,Milk - Excluding Butter,2018,2018,kg,72.76,Fc,Calculated data,Milk
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",2018,2018,kg,3.78,Fc,Calculated data,Meats
FBS,New Food Balances,4,Algeria,645,Food supply quantity (kg/capita/yr),2961,"Aquatic Products, Other",2018,2018,kg,0,Fc,Calculated data,Meats
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,97.01,Fc,Calculated data,Grains
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2018,2018,kg,248.23,Fc,Calculated data,Vegetables
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2908,Sugar Crops,2018,2018,kg,0,Fc,Calculated data,Vegetables
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2911,Pulses,2018,2018,kg,8.14,Fc,Calculated data,Vegetables
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2018,2018,kg,0.08,Fc,Calculated data,Grains
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2018,2018,kg,4.66,Fc,Calculated data,Grains
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2018,2018,kg,11.25,Fc,Calculated data,Vegetables
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2018,2018,kg,25.98,Fc,Calculated data,Vegetables
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2919,Fruits - Excluding Wine,2018,2018,kg,70.83,Fc,Calculated data,Fruits
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2922,Stimulants,2018,2018,kg,0.56,Fc,Calculated data,Grains
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2923,Spices,2018,2018,kg,0.02,Fc,Calculated data,Vegetables
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2943,Meat,2018,2018,kg,23.69,Fc,Calculated data,Meats
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2945,Offals,2018,2018,kg,2.23,Fc,Calculated data,Meats
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2946,Animal fats,2018,2018,kg,0.59,Fc,Calculated data,Meats
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2949,Eggs,2018,2018,kg,0.07,Fc,Calculated data,Meats
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2948,Milk - Excluding Butter,2018,2018,kg,7.1,Fc,Calculated data,Milk
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",2018,2018,kg,19.56,Fc,Calculated data,Meats
FBS,New Food Balances,7,Angola,645,Food supply quantity (kg/capita/yr),2961,"Aquatic Products, Other",2018,2018,kg,0,Fc,Calculated data,Meats
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,82.79,Fc,Calculated data,Grains
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2018,2018,kg,18.5,Fc,Calculated data,Vegetables
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2911,Pulses,2018,2018,kg,2.54,Fc,Calculated data,Vegetables
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2018,2018,kg,0.34,Fc,Calculated data,Grains
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2018,2018,kg,2.34,Fc,Calculated data,Grains
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2018,2018,kg,10.13,Fc,Calculated data,Vegetables
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2018,2018,kg,68.85,Fc,Calculated data,Vegetables
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2919,Fruits - Excluding Wine,2018,2018,kg,135.79,Fc,Calculated data,Fruits
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2922,Stimulants,2018,2018,kg,2,Fc,Calculated data,Grains
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2923,Spices,2018,2018,kg,2.01,Fc,Calculated data,Vegetables
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2943,Meat,2018,2018,kg,73.78,Fc,Calculated data,Meats
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2945,Offals,2018,2018,kg,3.4,Fc,Calculated data,Meats
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2946,Animal fats,2018,2018,kg,3.72,Fc,Calculated data,Meats
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2949,Eggs,2018,2018,kg,3.09,Fc,Calculated data,Meats
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2948,Milk - Excluding Butter,2018,2018,kg,44.6,Fc,Calculated data,Milk
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",2018,2018,kg,55.14,Fc,Calculated data,Meats
FBS,New Food Balances,8,Antigua and Barbuda,645,Food supply quantity (kg/capita/yr),2961,"Aquatic Products, Other",2018,2018,kg,0,Fc,Calculated data,Meats
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,127.73,Fc,Calculated data,Grains
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2907,Starchy Roots,2018,2018,kg,47.37,Fc,Calculated data,Vegetables
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2911,Pulses,2018,2018,kg,2.34,Fc,Calculated data,Vegetables
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2912,Treenuts,2018,2018,kg,0.4,Fc,Calculated data,Grains
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2913,Oilcrops,2018,2018,kg,1.28,Fc,Calculated data,Grains
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2914,Vegetable Oils,2018,2018,kg,14.86,Fc,Calculated data,Vegetables
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2918,Vegetables,2018,2018,kg,69.71,Fc,Calculated data,Vegetables
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2919,Fruits - Excluding Wine,2018,2018,kg,81.08,Fc,Calculated data,Fruits
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2922,Stimulants,2018,2018,kg,6.85,Fc,Calculated data,Grains
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2923,Spices,2018,2018,kg,0.21,Fc,Calculated data,Vegetables
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2943,Meat,2018,2018,kg,116.52,Fc,Calculated data,Meats
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2945,Offals,2018,2018,kg,5.9,Fc,Calculated data,Meats
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2946,Animal fats,2018,2018,kg,3.85,Fc,Calculated data,Meats
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2949,Eggs,2018,2018,kg,16.07,Fc,Calculated data,Meats
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2948,Milk - Excluding Butter,2018,2018,kg,161.12,Fc,Calculated data,Milk
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",2018,2018,kg,7.22,Fc,Calculated data,Meats
FBS,New Food Balances,9,Argentina,645,Food supply quantity (kg/capita/yr),2961,"Aquatic Products, Other",2018,2018,kg,0,Fc,Calculated data,Meats
FBS,New Food Balances,1,Armenia,645,Food supply quantity (kg/capita/yr),2905,Cereals - Excluding Beer,2018,2018,kg,152.32,Fc,Calculated data,Grains
